table_name,field_name,field_type,nullable,primary_key,default_value,comment,category
production_process_defect,defect_images,TEXT,YES,NO,,不良图片(JSON数组),业务表
production_process_defect,record_time,DATETIME,YES,NO,,记录时间,业务表
production_process_material,material_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_process_material,report_id,INTEGER,YES,NO,,报工单ID,业务表
production_process_material,work_order_id,INTEGER,YES,NO,,生产工单ID,业务表
production_process_material,process_id,INTEGER,YES,NO,,工序ID,业务表
production_process_material,material_type,VARCHAR(100),YES,NO,,物料类型,业务表
production_process_material,bas_material_id,VARCHAR,YES,NO,,关联基础料品表,业务表
production_process_material,material_batch,VARCHAR(100),YES,NO,,物料批次,业务表
production_process_material,package_no,VARCHAR(100),YES,NO,,包号,业务表
production_process_material,quantity,DECIMAL(12,2),YES,NO,0,数量,业务表
production_process_material,label_images,TEXT,YES,NO,,标签图片(JSON),业务表
production_process_material,record_time,DATETIME,YES,NO,,记录时间,业务表
production_manpower_record,record_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_manpower_record,report_id,INTEGER,YES,NO,,报工单ID,业务表
production_manpower_record,work_order_id,INTEGER,YES,NO,,工单ID,业务表
production_manpower_record,work_order_no,VARCHAR(50),YES,NO,,工单编号,业务表
production_manpower_record,record_date,DATE,YES,NO,,记录日期,业务表
production_manpower_record,shift,VARCHAR(20),YES,NO,,班次,业务表
production_manpower_record,start_time,DATETIME,YES,NO,,开始时间,业务表
production_manpower_record,end_time,DATETIME,YES,NO,,结束时间,业务表
production_manpower_record,hours,DECIMAL(10,2),YES,NO,0,工时,业务表
production_manpower_record,skilled_count,INTEGER,YES,NO,0,熟练工人数,业务表
production_manpower_record,general_count,INTEGER,YES,NO,0,一般工人数,业务表
production_manpower_record,labor_count,INTEGER,YES,NO,0,普工人数,业务表
production_manpower_record,other_count,INTEGER,YES,NO,0,其他人数,业务表
production_manpower_record,total_people,INTEGER,YES,NO,0,总人数,业务表
production_manpower_record,man_hours,DECIMAL(10,2),YES,NO,0,人时,业务表
production_manpower_record,remarks,VARCHAR(500),YES,NO,,备注,业务表
production_manpower_record,record_user,VARCHAR(50),YES,NO,,记录人,业务表
production_manpower_record,record_user_name,VARCHAR(50),YES,NO,,记录人姓名,业务表
production_manpower_record,created_at,DATETIME,YES,NO,,创建时间,业务表
production_process_exception,exception_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_process_exception,report_id,INTEGER,YES,NO,,报工单ID,业务表
production_process_exception,work_order_id,INTEGER,YES,NO,,工单ID,业务表
